啊	a/ā/è/á/ǎ/à
𧉭	nǔ
努	nǔ
𥅄	nǔ
𢪦	nǔ
𠴂	nǔ
𢫓	nǔ
𪺹	nǔ
弩	nǔ
砮	nǔ/nú
𦓕	nǘ
钕	nǚ
釹	nǚ
籹	nǚ
胬	nǚ/nǔ
朒	nǜ
䚼	nǜ
䖡	nǜ
恧	nǜ
䘐	nǜ
𦓖	nǜ
㵖	nǜ
𥍞	nǜ
𥄋	nǜ
䶊	nǜ
衄	nǜ
沑	nǜ/niǔ
女	nǚ/nǜ/rǔ
筽	o
藲	ou
鸥	ōu
欧	ōu
鷗	ōu
歐	ōu/ǒu
偶	ǒu
鵥	pan
萢	pao
褜	pao
蓜	pei
篷	peng/péng
榌	pi
魸	pian
岼	ping
塀	ping
騗	piàn
騙	piàn
骗	piàn
𠯯	piàn
㸤	piàn
片	piàn/piān/pàn
䏒	piàn/pàn
徱	piào
䏇	piào
勡	piào
𣳭	piào
㬓	piào
𪏫	piào
𩄷	piào
僄	piào/biāo
嫖	piào/piáo/biāo
票	piào/piāo
慓	piào/piāo
剽	piào/piāo/piáo/biǎo/biāo
漂	piào/piāo/piǎo/biāo
𩮳	piào/piǎo/piē
𢕨	pián
駢	pián
㛹	pián
賆	pián
胼	pián
𪘀	pián
𨸇	pián
𧍲	pián
𨂯	pián
楄	pián
騈	pián
𦳄	pián
腁	pián
楩	pián
骈	pián
蹁	pián
㼐	pián
𨵸	pián
骿	pián
𪚏	pián
諚	pián
𧱩	pián
䮁	pián
𠷊	pián
竂	piáo
㼼	piáo
𣝐	piáo
𩡦	piáo
䕯	piáo
䴩	piáo
闝	piáo
瓢	piáo
𨝓	piáo
薸	piáo
嫳	piè
𤮕	piè
篇	piān
媥	piān
𢐃	piān
犏	piān
鍂	piān
㾫	piān
偏	piān
囨	piān
㓲	piān
𢉞	piān
𧡤	piān
翩	piān
𨲜	piān
鶣	piān/biǎn
缥	piāo
魒	piāo
飄	piāo
飘	piāo
𠷻	piāo
𩗏	piāo
螵	piāo
𨮬	piāo
𪋖	piāo
𡣋	piāo
旚	piāo
𧌠	piāo
𡢱	piāo
𧽤	piāo
翲	piāo
摽	piāo/biào/biāo/pāo
嘌	piāo/piào
飃	piāo/piào
𩙒	piāo/piào
犥	piāo/pào
撆	piē
暼	piē
𠟈	piē
𦒐	piē
𢳂	piē
𩓼	piē
𠢪	piē
氕	piē
𦗥	piē
𩠿	piē
撇	piē/biē/piě
瞥	piē/bì
鐅	piě
䥕	piě
丿	piě/yì
覑	piǎn
𡎚	piǎn
諞	piǎn
谝	piǎn
貵	piǎn
㵱	piǎo
醥	piǎo
皫	piǎo
顠	piǎo
篻	piǎo/biāo
膘	piǎo/biāo
𣋳	piǎo/bào
𦭼	piǎo/bì
㹾	piǎo/jiào
彯	piǎo/piào/miǎo
瞟	piǎo/piào/piāo
縹	piǎo/piāo
𪅃	piǎo/piāo
泼	po/pō
潑	po/pō/bō
剖	pōu
贌	pu
巬	pu
巭	pu
袙	pà
𪗔	pà
怕	pà/bó
帕	pà/mò
帊	pà/pā
䖰	pài
𠂢	pài
鎃	pài
㵺	pài
𥿯	pài
𥯟	pài
𣏟	pài
𦔠	pài
𧵠	pài
𠸁	pài
蒎	pài
㭛	pài/bà
湃	pài/bá
𣲖	pài/liú/gū
派	pài/mài/bài/pā
𣴪	pài/pì
泮	pàn
𨒃	pàn
冸	pàn
鋬	pàn
牉	pàn
聁	pàn
畔	pàn
𡞟	pàn
鑻	pàn
炍	pàn
沜	pàn
詊	pàn
𥌊	pàn
溿	pàn
𢰿	pàn
𦙀	pàn
襻	pàn
叛	pàn
𤄧	pàn
判	pàn
頖	pàn
盼	pàn/fén
𦜍	pàng
𩈈	pàng
𥪴	pàng
㕩	pàng
炐	pàng/fēng
胖	pàng/pàn/pán
奅	pào
㘐	pào
礮	pào
𠣳	pào
䶌	pào
𣶐	pào
𣚇	pào
礟	pào
𦠖	pào
𡧙	pào
𣕅	pào
𨋛	pào
疱	pào
𩂞	pào
皰	pào
𨣙	pào
麭	pào
砲	pào/báo/pū
㯡	pào/páo
炮	pào/páo/bāo
泡	pào/pāo/páo
筢	pá
𧑡	pá
爬	pá
𧣣	pá
琶	pá
潖	pá
𣚒	pá
杷	pá/bà
掱	pá/shǒu
猅	pái
徘	pái
𦩯	pái
𥴖	pái
簲	pái
俳	pái
輫	pái
簰	pái
牌	pái
犤	pái
排	pái/bài/pǎi
棑	pái/bèi/pèi
䱝	pái/bēi
𣝁	pái/bēi
𥱼	pái/pì
𤠍	pán
𪄀	pán
蒰	pán
𪒀	pán
𥉟	pán
𨃟	pán
幋	pán
𠽲	pán
媻	pán
䰔	pán
瀊	pán
磐	pán
𨂝	pán
䃲	pán
𨃞	pán
鎜	pán
槃	pán
鞶	pán
𤖭	pán
𦪹	pán
𤻷	pán
𣁦	pán
縏	pán
𣔚	pán
蹒	pán
跘	pán/bàn
䰉	pán/bān
搫	pán/bān/pó
蟠	pán/fán
蹣	pán/mán/liǎng
盘	pán/pan
盤	pán/pan/xuán
柈	pán/pàn/bàn
踫	pán/pèng
𥈼	pán/pān
洀	pán/zhōu
𢐊	páng
𡅃	páng
䠙	páng
𨜷	páng
庞	páng
𩃎	páng
㫄	páng
鳑	páng
厐	páng
龎	páng
䅭	páng
𧔧	páng
㥬	páng
𤧭	páng
嫎	páng/bàng
螃	páng/bǎng
舽	páng/féng
龐	páng/lóng
旁	páng/pēng/bēng/bàng
髈	páng/pǎng/bǎng
𩗥	páo
𪊳	páo
䩝	páo
𡯈	páo
𣮃	páo
咆	páo
鞄	páo
𤔉	páo
𩎘	páo
匏	páo
垉	páo
㚿	páo
𡾌	páo
𩎾	páo
爮	páo
𩐜	páo
狍	páo
麅	páo
庖	páo
軳	páo
𧙌	páo
𥶔	páo
𡂘	páo
麃	páo/biāo/piǎo
袍	páo/bào
刨	páo/bào
炰	páo/fǒu
馷	pèi
㤄	pèi
𢘀	pèi
佩	pèi
㧩	pèi
𨙶	pèi
伂	pèi
旆	pèi
珮	pèi
霈	pèi
辔	pèi
𩖭	pèi
配	pèi
笩	pèi
沛	pèi
浿	pèi
斾	pèi
𢁖	pèi
姵	pèi
𢥐	pèi
㳈	pèi
䊃	pèi
轡	pèi
𥄔	pèi/pò
㾦	pèi/pēi
帔	pèi/pī
嶏	pèi/pǐ
𠺔	pèn
喯	pèn/bēn
湓	pèn/pén
椪	pèng
掽	pèng
𩸀	pèng
𨅘	pèng
碰	pèng
𣟀	pèng
𤖳	pèng
𥕽	pèng
㼞	pèng/bèng
㯁	péi
毰	péi
赔	péi
𧳏	péi
阫	péi
㟝	péi
𣬆	péi
𣯱	péi
䫊	péi
𧴥	péi
陪	péi
裵	péi
𦸪	péi
𤗏	péi
𨓿	péi
𨛬	péi
锫	péi
賠	péi
𩑢	péi/bāi
裴	péi/féi
駍	péi/pēng
䣙	péi/pěng/bēi
培	péi/pǒu/pī
𡺜	pén
𪂽	pén
瓫	pén
盆	pén
葐	pén/fén
𧚋	péng
蟚	péng
韸	péng
挷	péng
芃	péng
髼	péng
椖	péng
𡂫	péng
𪔍	péng
槰	péng
𧌇	péng
𩖛	péng
鬅	péng
𦪪	péng
䴶	péng
樥	péng
𧴂	péng
𨎳	péng
纄	péng
鹏	péng
𨎧	péng
𨍩	péng
𨲰	péng
塳	péng
䄘	péng
蟛	péng
𨂃	péng
竼	péng
𩐛	péng
稝	péng
鬔	péng
憉	péng
䡫	péng
韼	péng
輣	péng
鑝	péng
朋	péng
𩄦	péng
𩡕	péng
錋	péng/bèng
熢	péng/bèng/fēng
堋	péng/bèng/pēng/pīng
㱶	péng/bēng
搒	péng/bēng/bàng/bǎng
騯	péng/bǎng
莑	péng/fēng
棚	péng/peng
篣	péng/páng
彭	péng/páng/bāng/pēng
蓬	péng/pèng
膨	péng/pèng
䰃	péng/pèng/fǎng
㥊	péng/pēng
𥕱	péng/pēng
弸	péng/pēng
倗	péng/pěng/píng
塜	péng/zhǒng
㳪	pì
甓	pì
𤖿	pì
𪖞	pì
𠪮	pì
闢	pì
譬	pì
䏘	pì
𪛎	pì
𠯔	pì
䠘	pì
䴙	pì
𠯭	pì
睥	pì
㿙	pì
𨵡	pì
渒	pì
䡟	pì
鷿	pì
𨺤	pì
𨸆	pì
疈	pì
嫓	pì
𦤢	pì
𪇊	pì
屁	pì
僻	pì
𩜰	pì
㨽	pì
𤂃	pì
澼	pì
𣹚	pì
𤘤	pì
𣹮	pì
䤨	pì
𨵩	pì
𧾑	pì
𨐴	pì
𢾇	pì
𤚪	pì
濞	pì/bì
稫	pì/bì
鸊	pì/bì
萆	pì/bì/bēi/bá
辟	pì/bì/mǐ
㵨	pì/bó
媲	pì/bī/pí
揊	pì/chè
潎	pì/piē/piào
淠	pì/pèi
䑀	pì/pǐ
嚊	pì/xì/xiù
䑄	pì/yì
牝	pìn
𣎳	pìn
汖	pìn/chí
聘	pìn/pìng
娉	pìn/pīng
𠗥	pìng
䀻	pìng
毗	pí
𣖰	pí
𢰘	pí
鲏	pí
𡶌	pí
㮰	pí
蚍	pí
𧲺	pí
毞	pí
𥯡	pí
㼰	pí
𤘹	pí
皮	pí
𨈚	pí
𪌈	pí
毘	pí
阰	pí
䴽	pí
𤼜	pí
朇	pí
𦊁	pí
岯	pí
𤘢	pí
疲	pí
𧑜	pí
𣓋	pí
𩫫	pí
㓟	pí
壀	pí
羆	pí
𦹽	pí
貔	pí
篺	pí
啤	pí
腗	pí
𥤻	pí
𣪉	pí
螷	pí
鵧	pí
𣔬	pí
𪊕	pí
鼙	pí
𢇳	pí
𧴉	pí
𦃋	pí
𧳼	pí
膍	pí
䲹	pí
焷	pí
𩗫	pí
𠵬	pí
𡦟	pí
豼	pí
郫	pí
𣬉	pí
𦨭	pí
琵	pí
罴	pí
蚽	pí
𠨸	pí
芘	pí/bì
肶	pí/bì
陴	pí/bì
𦳈	pí/bì
𤷒	pí/bì/bēi
笓	pí/bì/bī
埤	pí/bì/pì/bēi
椑	pí/bēi/bì/pái
𨻀	pí/bī
𧓎	pí/bī
㯅	pí/bī
崥	pí/bǐ
魮	pí/bǐ
枇	pí/bǐ/bì/pī
蚾	pí/bǒ
隦	pí/jiǎo
蜱	pí/miáo
脾	pí/pái/bì/pì
嚬	pín
娦	pín
貧	pín
嬪	pín
𧮝	pín
薲	pín
㰋	pín
𧔪	pín
玭	pín
颦	pín
㺍	pín
𠐺	pín
𡛞	pín
𦇖	pín
顰	pín
𩕵	pín
𨏞	pín
矉	pín
獱	pín
嫔	pín
频	pín
𧭹	pín
蠙	pín
贫	pín
頻	pín/bīn
琕	pín/bǐng
凴	píng
评	píng
𠗦	píng
簈	píng
㻂	píng
㺸	píng
鮃	píng
帲	píng
凭	píng
蛢	píng
鲆	píng
缾	píng
䈂	píng
𤳊	píng
焩	píng
𦶊	píng
箳	píng
帡	píng
蚲	píng
憑	píng
慿	píng
瓶	píng
𧏑	píng
蓱	píng
玶	píng
𦚓	píng
䍈	píng
𪋋	píng
軿	píng
呯	píng
𪕒	píng
枰	píng
𪔾	píng
𤭔	píng
㵗	píng
𩂾	píng
甁	píng
萍	píng
坪	píng
𧂋	píng
幈	píng
䶄	píng
𥵪	píng
䓑	píng
評	píng
郱	píng
屛	píng
𢆟	píng
檘	píng/bò
屏	píng/bǐng/bìng/bīng
馮	píng/féng
平	píng/pián/bìng/bēng
淜	píng/péng
𡊞	píng/pìng
蘋	píng/pín
輧	píng/pēng
洴	píng/pēng
泙	píng/pēng
胓	píng/pēng
苹	píng/pēng
荓	píng/pēng
破	pò
烞	pò
䄸	pò
醗	pò
䣪	pò
𦾕	pò
𨂩	pò
𧴤	pò
䞟	pò
𦥭	pò
岶	pò
洦	pò
䨰	pò
㛘	pò
炇	pò
𦐦	pò
粕	pò
𠾌	pò
𦍁	pò
蒪	pò
𣍸	pò
敀	pò
砶	pò
𩔈	pò
𣬚	pò
䪖	pò
𦒟	pò
珀	pò
䯙	pò
𩊀	pò
䎅	pò
𥵜	pò
𨑝	pò
𢶉	pò
𦑀	pò
𦿍	pò
𤖼	pò
𦑵	pò
𦥲	pò
𥗟	pò
䣮	pò
哱	pò/bèi/bā/bó/bō
魄	pò/bó/tuò
䪙	pò/fú/fù
昢	pò/pèi
釙	pò/pō
迫	pò/pǎi
奤	pò/tǎi/hǎ
𧂉	pó
嘙	pó
㩯	pó
𡼃	pó
𨅅	pó
𢱨	pó
櫇	pó
㨇	pó
蔢	pó/bò
𩕏	pó/fán
婆	pó/po
皤	pó/pán
謈	pó/páo
鄱	pó/pí/pán
𦃡	pó/tāo
𩔻	póu
𦺎	póu
抔	póu
𢒷	póu
㧵	póu
抙	póu
𩚭	póu
箁	póu/bù/fú/pú
裒	póu/bāo
錇	póu/fú/péi
捊	póu/pōu/fū
䯽	póu/pǒu/bǎo
掊	póu/pǒu/fù/péi
舗	pù
𧦞	pù
舖	pù
𣋏	pù
曝	pù
𩂗	pù
𧙛	pù
瀑	pù/bào/bó
㬥	pù/bó
铺	pù/pū/pu
鋪	pù/pū/pu
㯷	pú
𤰑	pú
𥐁	pú
蒱	pú
𪋡	pú
䧤	pú
瞨	pú
𪖈	pú
镤	pú
酺	pú
獛	pú
濮	pú
㲫	pú
𢈲	pú
䈻	pú
穙	pú
㺪	pú
㒒	pú
鏷	pú
䑑	pú
䈬	pú
䔕	pú
𩯱	pú
匍	pú
𤗵	pú
璞	pú
襥	pú
𩪛	pú
𦮑	pú
𡰿	pú
𥣈	pú
𨽂	pú
菐	pú
𨛥	pú
墣	pú
葡	pú/bèi
菩	pú/bèi/bó
蒲	pú/bó
纀	pú/fú
脯	pú/fǔ
䗱	pú/pù/pǔ
䴆	pú/pū
僕	pú/pū/bú
𧣃	pā
䔤	pā
𤆵	pā
𣧜	pā
啪	pā
妑	pā
𨋐	pā
𦐆	pā
趴	pā
𩈆	pā
葩	pā
𣱺	pā
舥	pā
𤽉	pā
皅	pā/bà
䯲	pā/bà
𥐙	pā/bā
𣖐	pāi
𩛇	pāi
𦫖	pāi
拍	pāi/bó
眅	pān
䆺	pān
攀	pān
𤺏	pān
㽃	pān
𥕿	pān
砙	pān
㐴	pān
𤄜	pān
㢖	pān/bān
畨	pān/fān
潘	pān/pàn/bō/pán/fān
𣂆	pāng
䨦	pāng
䏺	pāng
𠦲	pāng
膖	pāng
霶	pāng
𧿆	pāng
𦣂	pāng
胮	pāng
乓	pāng
𩐨	pāng
𠗵	pāng
𩅅	pāng
𪐿	pāng
沗	pāng/tiān
鎊	pāng/bàng
肨	pāng/fēng/pàng
雱	pāng/páng/fāng
𪔔	pāng/péng
滂	pāng/pēng
㲏	pāo
𩆘	pāo
抛	pāo
𣟏	pāo
㯱	pāo
䫽	pāo
脬	pāo
拋	pāo
𦙂	pēi
𩵣	pēi
胚	pēi
呸	pēi
醅	pēi
𥹂	pēi
𤬃	pēi
肧	pēi
怌	pēi
𩎜	pēi
柸	pēi/bēi
㚰	pēi/bǐ
衃	pēi/fǒu
喷	pēn
歕	pēn
㖹	pēn/fèn
噴	pēn/pèn/fèn
𠽾	pēn/pǔ
漰	pēng
恲	pēng
𡼜	pēng
䦕	pēng
𢽩	pēng
㛁	pēng
𨠟	pēng
𨑎	pēng
䍬	pēng
𦚝	pēng
烹	pēng
䥋	pēng
𤘾	pēng
怦	pēng
軯	pēng
梈	pēng
𨺀	pēng
𢼩	pēng
磞	pēng
𦯰	pēng
匉	pēng
𩱀	pēng
嘭	pēng
㧸	pēng
𢏳	pēng/bēng
抨	pēng/bēng
㠮	pēng/gāng
閛	pēng/pèng
硼	pēng/péng
澎	pēng/péng
硑	pēng/píng
砰	pēng/pīng/pèng
俖	pěi
𣍺	pěi
翸	pěn
呠	pěn
皏	pěng
剻	pěng
淎	pěng
𡗗	pěng
𣨞	pěng
捧	pěng/fèng
𢪋	pěng/féng/bàng
𨧦	pī
䫠	pī
𢱧	pī
𣬼	pī
豾	pī
礔	pī
狉	pī
𢻹	pī
耚	pī
邳	pī
髬	pī
𢾱	pī
伾	pī
丕	pī
𡛡	pī
𠜱	pī
秛	pī
炋	pī
秠	pī
𨤽	pī
鉟	pī
憵	pī
𣢋	pī
铍	pī
𪉔	pī
𠹦	pī
𢓖	pī
㨢	pī
𤿎	pī
霹	pī
𡲮	pī
纰	pī
伓	pī
礕	pī
駓	pī
𠡄	pī
𤬭	pī
噼	pī
磇	pī
𣬮	pī
𧧺	pī
𧪫	pī
披	pī
砒	pī
𤿐	pī
銔	pī
旇	pī/bì
翍	pī/bì/pō
鈈	pī/bù
𦀘	pī/bī
𢞗	pī/bī
鈚	pī/bī/bǐ
悂	pī/bī/pǐ
𩣚	pī/bǐ
坯	pī/huài
苤	pī/piě
𪄆	pī/pí
鈹	pī/pí
狓	pī/pí
批	pī/pí
魾	pī/pí
紕	pī/pí/bǐ/bī/bì/chǐ
鮍	pī/pí/jù
抷	pī/pēi
䯱	pī/pēi/fù
劈	pī/pǐ
㱟	pī/pǐ
𤱍	pī/pǒ
痦	pī/wù
釽	pī/zhāo/pì
𩰗	pīn
䎙	pīn
穦	pīn
𢣐	pīn
礗	pīn
𥖶	pīn
𢶳	pīn
馪	pīn
驞	pīn
㡦	pīn
拼	pīn/bìng
姘	pīn/pín
𢬵	pīn/pān/biàn/fān
𥭢	pīng
𦥚	pīng
𦥤	pīng
𦀔	pīng
竮	pīng
甹	pīng
聠	pīng
砯	pīng
𩩍	pīng
乒	pīng
𢖊	pīng
𩈚	pīng
涄	pīng
艵	pīng
俜	pīng
𥪁	pīng
𨂲	pīng
䛣	pīng/chōu
頩	pīng/pǐng
𥬒	pō
鏺	pō
㗶	pō
钋	pō
𨠓	pō
䥽	pō
𩑼	pō
颇	pō
岥	pō
𩸿	pō
𧙅	pō
坡	pō
𠷑	pō
𡊟	pō
𦫔	pō
𨸭	pō
𨫁	pō
𠰼	pō
𤀪	pō
𨡩	pō
溌	pō
𤽌	pō
㧊	pō/bá
泊	pō/bó/pò
𧘟	pō/bō
䍨	pō/fèi
醱	pō/fā
𢂤	pō/lù
頗	pō/pò/pí
鉕	pō/pǒ
䬌	pōu
𦵿	pōu
𧠾	pōu
吥	pōu/bù
娝	pōu/bǐ
𡜵	pū
𤾣	pū
䮒	pū
𪒢	pū
𪔿	pū
𥼜	pū
攴	pū
䲕	pū
𧭎	pū
𤆝	pū
攵	pū
噗	pū
𦬙	pū
𫚙	pū
𨁏	pū
𧱹	pū
擈	pū
鯆	pū/bū
陠	pū/bū/bù
撲	pū/bǔ
𢼹	pū/bǔ
扑	pū/pì
痡	pū/pù/fū
仆	pū/pú
𥩙	pǎ
廹	pǎi
𧺾	pǎn
闆	pǎn/bǎn
坢	pǎn/pàn/bàn
耪	pǎng
覫	pǎng
䒍	pǎng
𢾳	pǎo
𦐸	pǎo
跑	pǎo/páo/bó
𡺮	pǐ
噽	pǐ
𤴣	pǐ
䰦	pǐ
𤿇	pǐ
𨲐	pǐ
䤏	pǐ
䫌	pǐ
𥀘	pǐ
癖	pǐ
圮	pǐ
𡊝	pǐ
𡛘	pǐ
銢	pǐ
𦘲	pǐ
鴄	pǐ
脴	pǐ
𥔁	pǐ
𨑜	pǐ
嚭	pǐ
痞	pǐ
𦘩	pǐ
苉	pǐ
𦰽	pǐ
䚹	pǐ
庀	pǐ
匹	pǐ
擗	pǐ/bò
諀	pǐ/bēi
仳	pǐ/pí/bì
𩔙	pǐ/xìn
䚰	pǐ/é
榀	pǐn
𥑓	pǐn
𠮰	pǐn
品	pǐn
叵	pǒ
𡽠	pǒ
𣲳	pǒ
駊	pǒ
𤝯	pǒ
笸	pǒ
𠰐	pǒ
钷	pǒ
尀	pǒ
𩢘	pǒ
𠵳	pǒ
𡶆	pǒ
𧿽	pǒ
𨆵	pǒ
𥹖	pǒ
犃	pǒu
哣	pǒu
廍	pǒu
咅	pǒu
㰴	pǒu
㕻	pǒu
䳝	pǒu/bù
婄	pǒu/péi/bù
檏	pǔ
烳	pǔ
譜	pǔ
浦	pǔ
谱	pǔ
镨	pǔ
𥐚	pǔ
圃	pǔ
諩	pǔ
氆	pǔ
㹒	pǔ
圤	pǔ
普	pǔ
𩑀	pǔ
鐠	pǔ
蹼	pǔ
𥛟	pǔ
溥	pǔ/fū/bù/bó/pò
朴	pǔ/pò/pū/pō/piáo
樸	pǔ/pú
潽	pǔ/pū
簯	qi
簱	qi
缼	qi
褄	qi
渏	qi
緕	qi
螧	qi
籏	qi
戚	qi/qī/cù
鞐	qia
鑓	qian
鎆	qian
鏲	qian
籖	qian
竏	qian
嗴	qiang
獇	qiang
槗	qiao
犞	qiao
籡	qie
倿	qie
苆	qie
媫	qie
硘	qing
櫦	qing
熍	qiong
蘒	qiu
釻	qiu
𠕣	qià
𦸉	qià
𫈰	qià
𥎸	qià
䨐	qià
𥴭	qià
硈	qià
㡊	qià
䂒	qià
㓤	qià
冾	qià
𩷻	qià
𠜤	qià
𩮁	qià
𪘺	qià
𩩱	qià
𣁴	qià
𠳌	qià
𠝘	qià
𢼣	qià
䶝	qià
𥦞	qià
𩥌	qià
𤵹	qià
𣨄	qià
帢	qià
殎	qià
𧩶	qià
𤫶	qià
㓞	qià
圶	qià
恰	qià
髂	qià/gé
㓣	qià/gē
洽	qià/hé
䁍	qià/kān
䯊	qià/kē
𦝣	qià/kē
愘	qià/qiā/kè
堑	qiàn
壍	qiàn
䈴	qiàn
䪈	qiàn
𢂺	qiàn
蒨	qiàn
芡	qiàn
𣢖	qiàn
刋	qiàn
儙	qiàn
皘	qiàn
蔳	qiàn
椠	qiàn
篟	qiàn
槧	qiàn
䥅	qiàn
歉	qiàn
輤	qiàn
𣹥	qiàn
𧮽	qiàn
䵛	qiàn
𨰂	qiàn
䊴	qiàn
䑶	qiàn
𢃘	qiàn
棈	qiàn
悓	qiàn
㯠	qiàn
篏	qiàn
㜞	qiàn/cán
㐸	qiàn/cì
嵌	qiàn/hǎn/kàn
塹	qiàn/jiàn
傔	qiàn/jiān
鰜	qiàn/jiān
𧚫	qiàn/jīng
欠	qiàn/qian
倩	qiàn/qìng
䵖	qiàn/qīn
綪	qiàn/qīng/zhēng
俔	qiàn/xiàn
茜	qiàn/xī
㟻	qiàn/zhǎn
䵁	qiàng
羻	qiàng
唴	qiàng
熗	qiàng
𥴻	qiàng
𦷦	qiàng
炝	qiàng
𪑊	qiào
𣒆	qiào
誚	qiào
竅	qiào
僺	qiào
峭	qiào
䆻	qiào
帩	qiào
䃝	qiào
躈	qiào
㢗	qiào
诮	qiào
㚁	qiào
窍	qiào
䇌	qiào
翘	qiào
殻	qiào
㴥	qiào
撬	qiào
𡰐	qiào
𧣌	qiào
𣺰	qiào
𠿕	qiào
陗	qiào
髚	qiào
𨜍	qiào
𢶡	qiào/jiǎo
譙	qiào/qiáo
翹	qiào/qiáo
韒	qiào/shāo
鞘	qiào/shāo
𣹝	qiào/xiào
俏	qiào/xiào/xiāo
撽	qiào/yāo/jī
偢	qiào/zōu/chǒu
𡘧	qiá
拤	qiá
軡	qián
榩	qián
箝	qián
𥴤	qián
𪈇	qián
鰬	qián
䁮	qián
㨜	qián
䈤	qián
媊	qián
㦮	qián
潜	qián
钳	qián
㸫	qián
岒	qián
拑	qián
𨜻	qián
濳	qián
钤	qián
𢁮	qián
灊	qián
歬	qián
騚	qián
𨱫	qián
𨥞	qián
𩨃	qián
𦼓	qián
𣖳	qián
騝	qián
銭	qián
䖍	qián
𨺩	qián
𩨊	qián
𦂒	qián
𠢍	qián
黔	qián
𨽨	qián
𥔮	qián
墘	qián
𦴑	qián
㩮	qián
𧣑	qián
虔	qián
𧃑	qián
𥷪	qián
掮	qián
潛	qián
𩬚	qián/gàn
鈐	qián/hán
揵	qián/jiàn/jiǎn
𠷁	qián/jiān
黚	qián/jiān
仱	qián/jīng
钱	qián/qian
錢	qián/qian/jiǎn
前	qián/qiǎn/jiǎn
忴	qián/qín
橬	qián/qín
扲	qián/qín
𠀼	qián/xià
羬	qián/xián/yán
𥮒	qián/zhān
鉗	qián/ān
㩖	qiáng
漒	qiáng
墙	qiáng
牆	qiáng
蘠	qiáng
𤕽	qiáng
𢏄	qiáng
𧖑	qiáng
檣	qiáng
墻	qiáng
丬	qiáng
𩼒	qiáng
嫱	qiáng
樯	qiáng
𢧅	qiáng
蔷	qiáng
艢	qiáng
𧭚	qiáng
𡸤	qiáng
嬙	qiáng
𡠥	qiáng
蔃	qiáng/jiàng
爿	qiáng/pán
強	qiáng/qiǎng
强	qiáng/qiǎng/jiàng
彊	qiáng/qiǎng/jiàng/jiāng
廧	qiáng/sè
乔	qiáo
𧄍	qiáo
侨	qiáo
荞	qiáo
癄	qiáo
桥	qiáo
礄	qiáo
樵	qiáo
𡰑	qiáo
䱁	qiáo
𢘟	qiáo
𣯹	qiáo
鐈	qiáo
䀉	qiáo
䩌	qiáo
𨅣	qiáo
𥁢	qiáo
藮	qiáo
顦	qiáo
荍	qiáo
鞒	qiáo
憔	qiáo
㝯	qiáo
䎗	qiáo
𨝱	qiáo
瞧	qiáo
硚	qiáo
谯	qiáo
趫	qiáo/jiào/chǎo
嫶	qiáo/jiāo
蕎	qiáo/jiāo
橋	qiáo/jiāo/jiào/qiāo/jiǎo
喬	qiáo/jiǎo
僑	qiáo/jiǎo
嘺	qiáo/qiào
劁	qiáo/qiāo
菬	qiáo/zhǎo
悏	qiè
朅	qiè
𥪵	qiè
㹤	qiè
匧	qiè
鯜	qiè
愜	qiè
踥	qiè
藒	qiè
𩣴	qiè
鍥	qiè
𧫕	qiè
䟙	qiè
竊	qiè
𪑗	qiè
𠩂	qiè
𡐤	qiè
窃	qiè
䤿	qiè
㓶	qiè
𨖰	qiè
𧻧	qiè
篋	qiè
𢲶	qiè
妾	qiè
𡂠	qiè
鐑	qiè
𧑨	qiè
笡	qiè
㗫	qiè
𧻘	qiè
𨉪	qiè
𨄊	qiè
𡝍	qiè
怯	qiè
㤲	qiè
穕	qiè
㼤	qiè
𦆍	qiè
緁	qiè
𣠺	qiè
㥦	qiè
𦿋	qiè
𤷾	qiè
𢺅	qiè
惬	qiè
𧚪	qiè
𥿚	qiè
𠁠	qiè
锲	qiè
㾜	qiè
𪙌	qiè
箧	qiè
𤴼	qiè/cí
𦼰	qiè/hé
洯	qiè/jié
𠲵	qiè/jié
淁	qiè/jí
蛪	qiè/ní
切	qiè/qiē/qì
挈	qiè/qì/jiá/qià/shì
㾀	qiè/qǔ
㛍	qiè/xiǎn/xiá
𡶐	qié
癿	qié
㚗	qié
䦧	qié
聺	qié
𨚧	qié
伽	qié/jiā/gā
𢮍	qiòng
𣶆	qiòng
𩑓	qióng
儝	qióng
㮪	qióng
㷀	qióng
㼇	qióng
焪	qióng
笻	qióng
𤢶	qióng
惸	qióng
焭	qióng
邛	qióng
𡊼	qióng
憌	qióng
蛬	qióng
窮	qióng
䓖	qióng
𡞦	qióng
㒌	qióng
橩	qióng
𢞏	qióng
茕	qióng
筇	qióng
𡸕	qióng
䛪	qióng
𩬰	qióng
宆	qióng
𩨯	qióng
𩢽	qióng
𣜧	qióng
𢶇	qióng
卭	qióng
𨍶	qióng
藭	qióng
𩬛	qióng
桏	qióng
䊄	qióng
睘	qióng
𡦃	qióng
䆳	qióng
𣇬	qióng
𡺺	qióng
𥑱	qióng
𦨰	qióng
穷	qióng
𠤊	qióng
𤤑	qióng
𥨪	qióng
煢	qióng
䠻	qióng
𪀛	qióng
竆	qióng
𣋶	qióng
㧭	qióng
𤤶	qióng
𦾵	qióng
𦭭	qióng
𥳎	qióng
赹	qióng
𨀯	qióng
𣑦	qióng
𠌖	qióng
藑	qióng
琼	qióng
㑋	qióng
𦦧	qióng/gǒng
蛩	qióng/gǒng
瞏	qióng/huán
舼	qióng/hóng
